order_id,order_date,year,quarter,month
45,2022-06-21 07:45:44.333148,2022,2,June
46,2022-05-23 22:00:10.307007,2022,2,May
47,2021-12-01 12:39:56.307719,2021,4,December
48,2020-08-30 10:45:53.401146,2020,3,August
49,2021-04-07 19:08:08.142449,2021,2,April
50,2023-09-13 06:47:26.758638,2023,3,September
51,2023-07-19 13:59:02.798238,2023,3,July
52,2023-01-27 01:42:43.093030,2023,1,January
53,2020-02-09 10:43:42.885895,2020,1,February
54,2023-09-10 22:45:20.931043,2023,3,September
55,2020-12-06 03:48:13.892314,2020,4,December
56,2021-06-17 11:55:39.583432,2021,2,June
57,2023-05-30 00:13:55.543879,2023,2,May
58,2023-05-09 11:27:06.319451,2023,2,May
59,2022-12-27 08:35:50.390679,2022,4,December
60,2021-09-21 07:29:28.271838,2021,3,September
61,2022-12-10 04:21:26.761075,2022,4,December
62,2022-01-17 20:35:51.739732,2022,1,January
63,2021-02-11 20:01:54.680855,2021,1,February
64,2020-08-30 19:11:11.813679,2020,3,August
65,2022-07-03 01:44:14.647104,2022,3,July
66,2022-11-04 09:39:33.154595,2022,4,November
67,2021-02-02 06:27:34.461918,2021,1,February
68,2020-06-16 13:24:47.913684,2020,2,June
69,2023-02-02 11:22:04.363588,2023,1,February
70,2021-09-26 14:24:49.427365,2021,3,September
71,2023-04-25 20:20:15.700997,2023,2,April
72,2021-12-18 13:18:27.871703,2021,4,December
73,2021-03-19 04:58:22.915822,2021,1,March
74,2021-10-16 17:45:28.201319,2021,4,October
75,2023-09-18 00:55:47.649634,2023,3,September
76,2020-01-16 19:40:57.992264,2020,1,January
77,2021-07-14 08:52:40.650620,2021,3,July
78,2022-03-26 16:21:06.115097,2022,1,March
79,2023-04-07 12:23:17.902015,2023,2,April
80,2020-11-25 20:45:15.170358,2020,4,November
81,2023-12-27 06:15:29.201903,2023,4,December
82,2020-01-27 18:54:56.731038,2020,1,January
83,2020-01-18 18:28:41.911178,2020,1,January
84,2021-10-24 23:46:43.073330,2021,4,October
85,2022-05-19 21:19:07.707417,2022,2,May
86,2020-05-12 03:17:22.597157,2020,2,May
87,2020-02-28 19:43:03.767713,2020,1,February
88,2023-04-13 10:06:09.214887,2023,2,April
89,2022-03-14 09:01:36.720486,2022,1,March
90,2020-06-07 14:40:56.934515,2020,2,June
91,2020-10-01 21:28:00.110364,2020,4,October
92,2021-05-28 21:16:20.249777,2021,2,May
93,2022-06-15 20:58:07.800679,2022,2,June
94,2023-11-14 05:32:30.261478,2023,4,November
95,2023-02-11 21:50:55.130095,2023,1,February
96,2023-02-10 17:44:08.217844,2023,1,February
97,2023-11-08 16:02:15.687300,2023,4,November
98,2021-07-26 01:23:16.346601,2021,3,July
99,2023-11-21 05:49:59.571413,2023,4,November
100,2022-02-16 09:42:00.409642,2022,1,February
101,2021-01-31 11:12:29.012161,2021,1,January
102,2021-07-06 12:58:15.016253,2021,3,July
103,2022-08-27 01:40:43.712361,2022,3,August
104,2022-05-15 00:02:53.185023,2022,2,May
105,2021-02-23 11:26:56.893767,2021,1,February
106,2020-12-28 05:26:04.314779,2020,4,December
107,2020-07-07 15:58:52.215096,2020,3,July
108,2021-09-08 22:06:28.982456,2021,3,September
109,2020-07-08 14:14:21.667284,2020,3,July
110,2021-11-16 10:40:08.173534,2021,4,November
111,2020-04-23 07:18:06.784975,2020,2,April
112,2023-07-02 01:08:29.812336,2023,3,July
113,2020-04-20 23:09:35.058336,2020,2,April
114,2021-09-01 20:27:38.845188,2021,3,September
115,2021-01-25 03:17:03.021009,2021,1,January
116,2023-02-05 03:48:01.970460,2023,1,February
117,2022-09-17 06:31:31.918346,2022,3,September
118,2021-06-28 09:15:59.543710,2021,2,June
119,2021-05-30 06:38:21.207162,2021,2,May
120,2021-09-04 16:42:40.082483,2021,3,September
121,2022-03-24 22:36:47.062443,2022,1,March
122,2021-04-12 23:49:40.042413,2021,2,April
123,2021-10-22 21:26:13.434719,2021,4,October
124,2022-07-03 20:56:25.447165,2022,3,July
125,2023-01-20 02:42:12.603690,2023,1,January
126,2022-06-13 23:37:18.816863,2022,2,June
127,2021-04-04 17:08:08.455177,2021,2,April
128,2021-11-22 05:39:35.809839,2021,4,November
129,2022-07-13 22:48:44.501745,2022,3,July
130,2020-12-20 03:31:21.890713,2020,4,December
131,2022-06-27 01:35:53.933171,2022,2,June
132,2021-03-23 09:23:34.128099,2021,1,March
133,2023-01-30 12:12:35.643000,2023,1,January
134,2021-05-07 20:04:43.591542,2021,2,May
135,2023-03-15 10:35:23.340117,2023,1,March
136,2020-08-30 16:15:07.549437,2020,3,August
137,2020-11-23 15:12:49.072296,2020,4,November
138,2021-10-26 18:36:00.090790,2021,4,October
139,2021-04-19 15:13:43.632508,2021,2,April
140,2022-11-04 05:50:56.532764,2022,4,November
141,2023-10-29 06:57:14.495071,2023,4,October
142,2021-07-19 01:07:28.920191,2021,3,July
143,2022-12-08 13:13:23.946963,2022,4,December
144,2020-06-06 15:26:25.533216,2020,2,June
145,2021-05-13 21:34:47.938993,2021,2,May
146,2023-02-25 18:17:00.037098,2023,1,February
147,2020-06-30 12:50:39.315604,2020,2,June
148,2020-12-01 20:07:30.055884,2020,4,December
149,2022-06-28 07:47:39.846080,2022,2,June
150,2022-09-29 08:23:16.732881,2022,3,September
151,2023-04-01 22:44:51.762237,2023,2,April
152,2020-01-06 08:30:31.621812,2020,1,January
153,2021-09-21 19:03:07.334695,2021,3,September
154,2020-01-04 05:16:55.091878,2020,1,January
155,2022-12-17 16:43:01.645501,2022,4,December
156,2022-07-23 11:17:50.874932,2022,3,July
157,2021-09-28 17:32:26.894909,2021,3,September
158,2022-11-15 20:19:47.102696,2022,4,November
159,2022-07-23 22:10:17.743309,2022,3,July
160,2021-07-02 02:33:07.487110,2021,3,July
161,2023-09-13 14:41:00.212021,2023,3,September
162,2023-04-18 11:56:48.491444,2023,2,April
163,2023-04-12 01:00:54.354204,2023,2,April
164,2022-03-26 06:40:36.288528,2022,1,March
165,2023-07-08 12:37:20.142448,2023,3,July
166,2020-01-10 17:30:41.872428,2020,1,January
167,2020-02-21 22:34:07.614539,2020,1,February
168,2022-09-09 19:20:45.975400,2022,3,September
169,2021-12-17 21:13:52.163040,2021,4,December
170,2023-08-24 03:33:17.063105,2023,3,August
171,2022-05-14 18:34:28.652892,2022,2,May
172,2020-06-29 09:36:26.940762,2020,2,June
173,2023-10-13 23:15:20.252368,2023,4,October
174,2023-03-14 04:49:38.811593,2023,1,March
175,2020-05-04 23:55:32.456150,2020,2,May
176,2023-12-30 21:34:56.243743,2023,4,December
177,2022-08-01 21:17:47.270348,2022,3,August
178,2023-07-17 05:39:51.260413,2023,3,July
179,2020-10-17 10:22:37.832028,2020,4,October
180,2020-02-10 14:22:28.335462,2020,1,February
181,2020-05-22 14:35:45.827877,2020,2,May
182,2021-02-22 04:54:06.114852,2021,1,February
183,2020-07-22 22:55:46.101478,2020,3,July
184,2020-11-26 02:34:41.848277,2020,4,November
185,2020-06-09 13:58:25.579721,2020,2,June
186,2023-03-15 10:51:08.838534,2023,1,March
187,2023-12-13 18:27:24.758859,2023,4,December
188,2023-11-26 07:42:05.928520,2023,4,November
189,2022-11-01 15:16:05.361550,2022,4,November
190,2021-03-07 01:35:35.277935,2021,1,March
191,2022-08-31 15:52:18.717872,2022,3,August
192,2023-07-09 08:03:47.674074,2023,3,July
193,2022-12-14 19:42:15.720110,2022,4,December
194,2020-08-18 06:35:28.278083,2020,3,August
195,2022-09-21 01:25:14.758703,2022,3,September
196,2021-12-25 21:55:40.752139,2021,4,December
197,2023-05-31 13:45:45.716620,2023,2,May
198,2020-09-16 20:27:31.478572,2020,3,September
199,2023-12-07 00:08:09.210041,2023,4,December
200,2023-12-08 00:00:00,2023,4,December
